gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Mannelijk;46
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Mannelijk;474
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Vrouwelijk;659
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Mannelijk;522
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Vrouwelijk;555
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Mannelijk;4313
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Vrouwelijk;3418
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Mannelijk;15074
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Vrouwelijk;24873
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Mannelijk;14581
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Vrouwelijk;18324
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Mannelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Vrouwelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Mannelijk;366
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Vrouwelijk;554
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Mannelijk;355
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Vrouwelijk;409
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Mannelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Vrouwelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Mannelijk;647
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Vrouwelijk;900
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Mannelijk;632
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Vrouwelijk;740
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Mannelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Mannelijk;341
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Vrouwelijk;534
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Mannelijk;315
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Vrouwelijk;357
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Mannelijk;199
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Vrouwelijk;195
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Mannelijk;1112
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Vrouwelijk;1668
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Mannelijk;1159
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Vrouwelijk;1229
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Mannelijk;222
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Vrouwelijk;240
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Mannelijk;902
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Vrouwelijk;1243
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Mannelijk;793
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Vrouwelijk;806
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Mannelijk;84
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Vrouwelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Mannelijk;593
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Vrouwelijk;908
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Mannelijk;701
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Vrouwelijk;944
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Mannelijk;129
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Vrouwelijk;91
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Mannelijk;523
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Vrouwelijk;762
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Mannelijk;516
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Vrouwelijk;431
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Mannelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Vrouwelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Mannelijk;325
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Vrouwelijk;515
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Mannelijk;384
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Vrouwelijk;364
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Mannelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Vrouwelijk;45
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Mannelijk;242
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Vrouwelijk;335
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Mannelijk;249
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Vrouwelijk;292
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Mannelijk;122
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Kinderen;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Mannelijk;523
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Actieven;Vrouwelijk;690
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Mannelijk;543
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;Bejaarden;Vrouwelijk;488
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Mannelijk;167
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Kinderen;Vrouwelijk;128
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Mannelijk;711
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Actieven;Vrouwelijk;1106
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Mannelijk;885
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);Bejaarden;Vrouwelijk;952
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Mannelijk;126
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Kinderen;Vrouwelijk;99
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Mannelijk;635
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Actieven;Vrouwelijk;869
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Mannelijk;654
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;Bejaarden;Vrouwelijk;732
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Mannelijk;56
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Kinderen;Vrouwelijk;45
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Mannelijk;240
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Actieven;Vrouwelijk;409
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Mannelijk;201
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;Bejaarden;Vrouwelijk;185
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Mannelijk;156
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Vrouwelijk;124
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Mannelijk;818
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Vrouwelijk;1109
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Mannelijk;786
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Vrouwelijk;945
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Mannelijk;62
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Mannelijk;339
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Vrouwelijk;549
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Mannelijk;311
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Vrouwelijk;391
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Mannelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Vrouwelijk;140
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Mannelijk;584
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Vrouwelijk;800
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Mannelijk;533
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Vrouwelijk;567
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Mannelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Vrouwelijk;61
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Mannelijk;474
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Vrouwelijk;618
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Bejaarden;Mannelijk;500
