région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Masculin;72
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Enfants;Féminin;50
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Masculin;463
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Actifs;Féminin;594
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Masculin;532
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;Retraités;Féminin;619
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Masculin;4422
Région flamande;Anvers;Anvers;11002;2000;Anvers;Enfants;Féminin;3302
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Masculin;15559
Région flamande;Anvers;Anvers;11002;2000;Anvers;Actifs;Féminin;24742
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Masculin;14587
Région flamande;Anvers;Anvers;11002;2000;Anvers;Retraités;Féminin;17885
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Masculin;52
Région flamande;Anvers;Anvers;11004;2530;Boechout;Enfants;Féminin;51
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Masculin;371
Région flamande;Anvers;Anvers;11004;2530;Boechout;Actifs;Féminin;468
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Masculin;377
Région flamande;Anvers;Anvers;11004;2530;Boechout;Retraités;Féminin;411
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Masculin;128
Région flamande;Anvers;Anvers;11005;2850;Boom;Enfants;Féminin;93
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Masculin;647
Région flamande;Anvers;Anvers;11005;2850;Boom;Actifs;Féminin;911
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Masculin;620
Région flamande;Anvers;Anvers;11005;2850;Boom;Retraités;Féminin;760
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Masculin;87
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Enfants;Féminin;76
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Masculin;310
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Actifs;Féminin;531
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Masculin;285
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;Retraités;Féminin;295
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Masculin;204
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Enfants;Féminin;167
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Masculin;1117
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Actifs;Féminin;1579
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Masculin;1246
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;Retraités;Féminin;1343
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Masculin;210
Région flamande;Anvers;Anvers;11009;2960;Brecht;Enfants;Féminin;173
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Masculin;941
Région flamande;Anvers;Anvers;11009;2960;Brecht;Actifs;Féminin;1272
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Masculin;809
Région flamande;Anvers;Anvers;11009;2960;Brecht;Retraités;Féminin;752
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Masculin;90
Région flamande;Anvers;Anvers;11013;2650;Edegem;Enfants;Féminin;88
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Masculin;615
Région flamande;Anvers;Anvers;11013;2650;Edegem;Actifs;Féminin;884
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Masculin;742
Région flamande;Anvers;Anvers;11013;2650;Edegem;Retraités;Féminin;897
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Masculin;109
Région flamande;Anvers;Anvers;11016;2910;Essen;Enfants;Féminin;75
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Masculin;565
Région flamande;Anvers;Anvers;11016;2910;Essen;Actifs;Féminin;779
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Masculin;534
Région flamande;Anvers;Anvers;11016;2910;Essen;Retraités;Féminin;423
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Masculin;71
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Enfants;Féminin;58
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Masculin;359
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Actifs;Féminin;502
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Masculin;352
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;Retraités;Féminin;345
Région flamande;Anvers;Anvers;11021;2540;Hove;Enfants;Masculin;41
Région flamande;Anvers;Anvers;11021;2540;Hove;Enfants;Féminin;32
Région flamande;Anvers;Anvers;11021;2540;Hove;Actifs;Masculin;208
Région flamande;Anvers;Anvers;11021;2540;Hove;Actifs;Féminin;295
Région flamande;Anvers;Anvers;11021;2540;Hove;Retraités;Masculin;273
Région flamande;Anvers;Anvers;11021;2540;Hove;Retraités;Féminin;290
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Enfants;Masculin;117
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Enfants;Féminin;79
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Actifs;Masculin;530
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Actifs;Féminin;745
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Retraités;Masculin;508
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;Retraités;Féminin;555
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Enfants;Masculin;148
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Enfants;Féminin;113
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Actifs;Masculin;749
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Actifs;Féminin;1112
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Retraités;Masculin;886
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);Retraités;Féminin;925
Région flamande;Anvers;Anvers;11024;2550;Kontich;Enfants;Masculin;120
Région flamande;Anvers;Anvers;11024;2550;Kontich;Enfants;Féminin;68
Région flamande;Anvers;Anvers;11024;2550;Kontich;Actifs;Masculin;670
Région flamande;Anvers;Anvers;11024;2550;Kontich;Actifs;Féminin;902
Région flamande;Anvers;Anvers;11024;2550;Kontich;Retraités;Masculin;657
Région flamande;Anvers;Anvers;11024;2550;Kontich;Retraités;Féminin;655
Région flamande;Anvers;Anvers;11025;2547;Lint;Enfants;Masculin;44
Région flamande;Anvers;Anvers;11025;2547;Lint;Enfants;Féminin;56
Région flamande;Anvers;Anvers;11025;2547;Lint;Actifs;Masculin;275
Région flamande;Anvers;Anvers;11025;2547;Lint;Actifs;Féminin;384
Région flamande;Anvers;Anvers;11025;2547;Lint;Retraités;Masculin;214
Région flamande;Anvers;Anvers;11025;2547;Lint;Retraités;Féminin;208
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Enfants;Masculin;148
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Enfants;Féminin;116
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Actifs;Masculin;720
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Actifs;Féminin;1108
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Retraités;Masculin;771
Région flamande;Anvers;Anvers;11029;2640;Mortsel;Retraités;Féminin;940
Région flamande;Anvers;Anvers;11030;2845;Niel;Enfants;Masculin;80
Région flamande;Anvers;Anvers;11030;2845;Niel;Enfants;Féminin;61
Région flamande;Anvers;Anvers;11030;2845;Niel;Actifs;Masculin;379
Région flamande;Anvers;Anvers;11030;2845;Niel;Actifs;Féminin;530
Région flamande;Anvers;Anvers;11030;2845;Niel;Retraités;Masculin;367
Région flamande;Anvers;Anvers;11030;2845;Niel;Retraités;Féminin;387
Région flamande;Anvers;Anvers;11035;2520;Ranst;Enfants;Masculin;93
Région flamande;Anvers;Anvers;11035;2520;Ranst;Enfants;Féminin;100
Région flamande;Anvers;Anvers;11035;2520;Ranst;Actifs;Masculin;642
Région flamande;Anvers;Anvers;11035;2520;Ranst;Actifs;Féminin;802
Région flamande;Anvers;Anvers;11035;2520;Ranst;Retraités;Masculin;491
Région flamande;Anvers;Anvers;11035;2520;Ranst;Retraités;Féminin;572
Région flamande;Anvers;Anvers;11037;2840;Rumst;Enfants;Masculin;87
Région flamande;Anvers;Anvers;11037;2840;Rumst;Enfants;Féminin;58
Région flamande;Anvers;Anvers;11037;2840;Rumst;Actifs;Masculin;532
Région flamande;Anvers;Anvers;11037;2840;Rumst;Actifs;Féminin;596
Région flamande;Anvers;Anvers;11037;2840;Rumst;Retraités;Masculin;488
Région flamande;Anvers;Anvers;11037;2840;Rumst;Retraités;Féminin;503
Région flamande;Anvers;Anvers;11038;2627;Schelle;Enfants;Masculin;51
Région flamande;Anvers;Anvers;11038;2627;Schelle;Enfants;Féminin;37
Région flamande;Anvers;Anvers;11038;2627;Schelle;Actifs;Masculin;249
Région flamande;Anvers;Anvers;11038;2627;Schelle;Actifs;Féminin;378
Région flamande;Anvers;Anvers;11038;2627;Schelle;Retraités;Masculin;252
Région flamande;Anvers;Anvers;11038;2627;Schelle;Retraités;Féminin;269
Région flamande;Anvers;Anvers;11039;2970;Schilde;Enfants;Masculin;125
Région flamande;Anvers;Anvers;11039;2970;Schilde;Enfants;Féminin;109
Région flamande;Anvers;Anvers;11039;2970;Schilde;Actifs;Masculin;533
Région flamande;Anvers;Anvers;11039;2970;Schilde;Actifs;Féminin;691
Région flamande;Anvers;Anvers;11039;2970;Schilde;Retraités;Masculin;772
Région flamande;Anvers;Anvers;11039;2970;Schilde;Retraités;Féminin;776
Région flamande;Anvers;Anvers;11040;2900;Schoten;Enfants;Masculin;223
Région flamande;Anvers;Anvers;11040;2900;Schoten;Enfants;Féminin;250
Région flamande;Anvers;Anvers;11040;2900;Schoten;Actifs;Masculin;1017
Région flamande;Anvers;Anvers;11040;2900;Schoten;Actifs;Féminin;1469
Région flamande;Anvers;Anvers;11040;2900;Schoten;Retraités;Masculin;1072
Région flamande;Anvers;Anvers;11040;2900;Schoten;Retraités;Féminin;1259
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Enfants;Masculin;117
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Enfants;Féminin;90
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Actifs;Masculin;577
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Actifs;Féminin;906
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Retraités;Masculin;446
Région flamande;Anvers;Anvers;11044;2940;Stabroek;Retraités;Féminin;425
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Enfants;Masculin;45
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Enfants;Féminin;42
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Actifs;Masculin;236
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Actifs;Féminin;389
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Retraités;Masculin;315
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;Retraités;Féminin;326
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Enfants;Masculin;67
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Enfants;Féminin;56
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Actifs;Masculin;398
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Actifs;Féminin;545
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Retraités;Masculin;469
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;Retraités;Féminin;461
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Enfants;Masculin;133
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Enfants;Féminin;115
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Actifs;Masculin;652
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Actifs;Féminin;896
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Retraités;Masculin;436
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;Retraités;Féminin;409
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Enfants;Masculin;91
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Enfants;Féminin;73
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Actifs;Masculin;390
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Actifs;Féminin;477
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Retraités;Masculin;379
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;Retraités;Féminin;420
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Enfants;Masculin;144
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Enfants;Féminin;136
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Actifs;Masculin;660
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Actifs;Féminin;791
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Retraités;Masculin;639
Région flamande;Anvers;Anvers;11055;2980;Zoersel;Retraités;Féminin;657
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Enfants;Masculin;104
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Enfants;Féminin;85
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Actifs;Masculin;739
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Actifs;Féminin;926
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Retraités;Masculin;680
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;Retraités;Féminin;711
Région flamande;Anvers;Anvers;11057;2390;Malle;Enfants;Masculin;128
Région flamande;Anvers;Anvers;11057;2390;Malle;Enfants;Féminin;98
Région flamande;Anvers;Anvers;11057;2390;Malle;Actifs;Masculin;478
Région flamande;Anvers;Anvers;11057;2390;Malle;Actifs;Féminin;620
Région flamande;Anvers;Anvers;11057;2390;Malle;Retraités;Masculin;438
Région flamande;Anvers;Anvers;11057;2390;Malle;Retraités;Féminin;532
Région flamande;Anvers;Malines;12002;2590;Berlaar;Enfants;Masculin;80
Région flamande;Anvers;Malines;12002;2590;Berlaar;Enfants;Féminin;47
Région flamande;Anvers;Malines;12002;2590;Berlaar;Actifs;Masculin;367
Région flamande;Anvers;Malines;12002;2590;Berlaar;Actifs;Féminin;476
Région flamande;Anvers;Malines;12002;2590;Berlaar;Retraités;Masculin;291
Région flamande;Anvers;Malines;12002;2590;Berlaar;Retraités;Féminin;333
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Enfants;Masculin;98
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Enfants;Féminin;68
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Actifs;Masculin;436
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Actifs;Féminin;637
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Retraités;Masculin;589
Région flamande;Anvers;Malines;12005;2820;Bonheiden;Retraités;Féminin;634
Région flamande;Anvers;Malines;12007;2880;Bornem;Enfants;Masculin;97
Région flamande;Anvers;Malines;12007;2880;Bornem;Enfants;Féminin;74
Région flamande;Anvers;Malines;12007;2880;Bornem;Actifs;Masculin;703
Région flamande;Anvers;Malines;12007;2880;Bornem;Actifs;Féminin;919
Région flamande;Anvers;Malines;12007;2880;Bornem;Retraités;Masculin;713
Région flamande;Anvers;Malines;12007;2880;Bornem;Retraités;Féminin;626
Région flamande;Anvers;Malines;12009;2570;Duffel;Enfants;Masculin;113
Région flamande;Anvers;Malines;12009;2570;Duffel;Enfants;Féminin;78
Région flamande;Anvers;Malines;12009;2570;Duffel;Actifs;Masculin;586
Région flamande;Anvers;Malines;12009;2570;Duffel;Actifs;Féminin;888
Région flamande;Anvers;Malines;12009;2570;Duffel;Retraités;Masculin;541
Région flamande;Anvers;Malines;12009;2570;Duffel;Retraités;Féminin;616
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Enfants;Masculin;245
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Enfants;Féminin;186
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Actifs;Masculin;1401
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Actifs;Féminin;1938
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Retraités;Masculin;1330
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;Retraités;Féminin;1337
Région flamande;Anvers;Malines;12021;2500;Lierre;Enfants;Masculin;262
Région flamande;Anvers;Malines;12021;2500;Lierre;Enfants;Féminin;186
Région flamande;Anvers;Malines;12021;2500;Lierre;Actifs;Masculin;1042
Région flamande;Anvers;Malines;12021;2500;Lierre;Actifs;Féminin;1489
Région flamande;Anvers;Malines;12021;2500;Lierre;Retraités;Masculin;1096
Région flamande;Anvers;Malines;12021;2500;Lierre;Retraités;Féminin;1247
Région flamande;Anvers;Malines;12025;2800;Malines;Enfants;Masculin;632
Région flamande;Anvers;Malines;12025;2800;Malines;Enfants;Féminin;551
