gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Mannelijk;96
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Kinderen;Vrouwelijk;71
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Mannelijk;979
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Actieven;Vrouwelijk;1163
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Mannelijk;895
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;Bejaarden;Vrouwelijk;765
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Mannelijk;6260
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Kinderen;Vrouwelijk;3248
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Mannelijk;29771
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Actieven;Vrouwelijk;42292
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Mannelijk;18934
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;Bejaarden;Vrouwelijk;22390
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Mannelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Kinderen;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Mannelijk;661
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Actieven;Vrouwelijk;965
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Mannelijk;445
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;Bejaarden;Vrouwelijk;531
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Mannelijk;263
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Kinderen;Vrouwelijk;149
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Mannelijk;1256
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Actieven;Vrouwelijk;1778
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Mannelijk;892
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;Bejaarden;Vrouwelijk;909
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Mannelijk;93
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Kinderen;Vrouwelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Mannelijk;743
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Actieven;Vrouwelijk;1064
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Mannelijk;380
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;Bejaarden;Vrouwelijk;497
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Mannelijk;252
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Kinderen;Vrouwelijk;210
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Mannelijk;2460
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Actieven;Vrouwelijk;3401
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Mannelijk;1972
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;Bejaarden;Vrouwelijk;1994
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Mannelijk;250
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Kinderen;Vrouwelijk;200
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Mannelijk;1895
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Actieven;Vrouwelijk;2696
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Mannelijk;1282
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;Bejaarden;Vrouwelijk;1251
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Mannelijk;121
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Kinderen;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Mannelijk;1144
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Actieven;Vrouwelijk;1707
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Mannelijk;1011
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;Bejaarden;Vrouwelijk;1320
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Mannelijk;169
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Kinderen;Vrouwelijk;83
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Mannelijk;1023
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Actieven;Vrouwelijk;1413
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Mannelijk;858
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;Bejaarden;Vrouwelijk;577
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Mannelijk;107
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Kinderen;Vrouwelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Mannelijk;708
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Actieven;Vrouwelijk;1051
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Mannelijk;553
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;Bejaarden;Vrouwelijk;348
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Mannelijk;71
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Kinderen;Vrouwelijk;29
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Mannelijk;365
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Actieven;Vrouwelijk;654
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Mannelijk;356
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;Bejaarden;Vrouwelijk;376
