gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar; 0 – 14;Mannelijk;111
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar; 0 – 14;Vrouwelijk;71
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;15 – 64;Mannelijk;1089
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;15 – 64;Vrouwelijk;1335
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;65 – ...;Mannelijk;876
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;65 – ...;Vrouwelijk;798
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen; 0 – 14;Mannelijk;6310
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen; 0 – 14;Vrouwelijk;3398
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;15 – 64;Mannelijk;32049
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;15 – 64;Vrouwelijk;46874
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;65 – ...;Mannelijk;20644
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;65 – ...;Vrouwelijk;23340
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout; 0 – 14;Mannelijk;75
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout; 0 – 14;Vrouwelijk;36
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;15 – 64;Mannelijk;686
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;15 – 64;Vrouwelijk;1044
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;65 – ...;Mannelijk;532
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;65 – ...;Vrouwelijk;618
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom; 0 – 14;Mannelijk;311
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom; 0 – 14;Vrouwelijk;159
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;15 – 64;Mannelijk;1260
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;15 – 64;Vrouwelijk;1972
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;65 – ...;Mannelijk;980
