gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar; 0 – 14;Mannelijk;62
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar; 0 – 14;Vrouwelijk;37
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;15 – 64;Mannelijk;443
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;15 – 64;Vrouwelijk;573
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;65 – ...;Mannelijk;598
Vlaams Gewest;Antwerpen;Antwerpen;11001.0;2630.0;Aartselaar;65 – ...;Vrouwelijk;596
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen; 0 – 14;Mannelijk;4678
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen; 0 – 14;Vrouwelijk;3528
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;15 – 64;Mannelijk;15666
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;15 – 64;Vrouwelijk;25002
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;65 – ...;Mannelijk;14785
Vlaams Gewest;Antwerpen;Antwerpen;11002.0;2000.0;Antwerpen;65 – ...;Vrouwelijk;18014
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout; 0 – 14;Mannelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout; 0 – 14;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;15 – 64;Mannelijk;332
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;15 – 64;Vrouwelijk;526
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;65 – ...;Mannelijk;335
Vlaams Gewest;Antwerpen;Antwerpen;11004.0;2530.0;Boechout;65 – ...;Vrouwelijk;414
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom; 0 – 14;Mannelijk;165
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom; 0 – 14;Vrouwelijk;90
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;15 – 64;Mannelijk;647
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;15 – 64;Vrouwelijk;914
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;65 – ...;Mannelijk;658
Vlaams Gewest;Antwerpen;Antwerpen;11005.0;2850.0;Boom;65 – ...;Vrouwelijk;756
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek; 0 – 14;Mannelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek; 0 – 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek;15 – 64;Mannelijk;343
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek;15 – 64;Vrouwelijk;528
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek;65 – ...;Mannelijk;304
Vlaams Gewest;Antwerpen;Antwerpen;11007.0;2150.0;Borsbeek;65 – ...;Vrouwelijk;353
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat; 0 – 14;Mannelijk;255
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat; 0 – 14;Vrouwelijk;189
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat;15 – 64;Mannelijk;1008
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat;15 – 64;Vrouwelijk;1560
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat;65 – ...;Mannelijk;1290
Vlaams Gewest;Antwerpen;Antwerpen;11008.0;2930.0;Brasschaat;65 – ...;Vrouwelijk;1421
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht; 0 – 14;Mannelijk;227
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht; 0 – 14;Vrouwelijk;179
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht;15 – 64;Mannelijk;932
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht;15 – 64;Vrouwelijk;1334
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht;65 – ...;Mannelijk;803
Vlaams Gewest;Antwerpen;Antwerpen;11009.0;2960.0;Brecht;65 – ...;Vrouwelijk;799
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem; 0 – 14;Mannelijk;98
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem; 0 – 14;Vrouwelijk;90
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem;15 – 64;Mannelijk;613
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem;15 – 64;Vrouwelijk;882
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem;65 – ...;Mannelijk;764
Vlaams Gewest;Antwerpen;Antwerpen;11013.0;2650.0;Edegem;65 – ...;Vrouwelijk;906
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen; 0 – 14;Mannelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen; 0 – 14;Vrouwelijk;94
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen;15 – 64;Mannelijk;549
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen;15 – 64;Vrouwelijk;759
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen;65 – ...;Mannelijk;574
Vlaams Gewest;Antwerpen;Antwerpen;11016.0;2910.0;Essen;65 – ...;Vrouwelijk;419
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem; 0 – 14;Mannelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem; 0 – 14;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;15 – 64;Mannelijk;367
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;15 – 64;Vrouwelijk;508
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;65 – ...;Mannelijk;354
Vlaams Gewest;Antwerpen;Antwerpen;11018.0;2620.0;Hemiksem;65 – ...;Vrouwelijk;354
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove; 0 – 14;Mannelijk;28
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove; 0 – 14;Vrouwelijk;35
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;15 – 64;Mannelijk;229
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;15 – 64;Vrouwelijk;316
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;65 – ...;Mannelijk;286
Vlaams Gewest;Antwerpen;Antwerpen;11021.0;2540.0;Hove;65 – ...;Vrouwelijk;300
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout; 0 – 14;Mannelijk;154
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout; 0 – 14;Vrouwelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;15 – 64;Mannelijk;554
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;15 – 64;Vrouwelijk;742
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;65 – ...;Mannelijk;545
Vlaams Gewest;Antwerpen;Antwerpen;11022.0;2920.0;Kalmthout;65 – ...;Vrouwelijk;550
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen); 0 – 14;Mannelijk;147
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen); 0 – 14;Vrouwelijk;113
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);15 – 64;Mannelijk;781
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);15 – 64;Vrouwelijk;1068
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);65 – ...;Mannelijk;978
Vlaams Gewest;Antwerpen;Antwerpen;11023.0;2950.0;Kapellen (Antwerpen);65 – ...;Vrouwelijk;1010
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich; 0 – 14;Mannelijk;121
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich; 0 – 14;Vrouwelijk;77
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;15 – 64;Mannelijk;632
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;15 – 64;Vrouwelijk;870
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;65 – ...;Mannelijk;630
Vlaams Gewest;Antwerpen;Antwerpen;11024.0;2550.0;Kontich;65 – ...;Vrouwelijk;635
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint; 0 – 14;Mannelijk;36
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint; 0 – 14;Vrouwelijk;49
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;15 – 64;Mannelijk;283
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;15 – 64;Vrouwelijk;388
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;65 – ...;Mannelijk;203
Vlaams Gewest;Antwerpen;Antwerpen;11025.0;2547.0;Lint;65 – ...;Vrouwelijk;201
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel; 0 – 14;Mannelijk;157
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel; 0 – 14;Vrouwelijk;126
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;15 – 64;Mannelijk;760
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;15 – 64;Vrouwelijk;1074
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;65 – ...;Mannelijk;846
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;65 – ...;Vrouwelijk;981
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel; 0 – 14;Mannelijk;82
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel; 0 – 14;Vrouwelijk;65
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;15 – 64;Mannelijk;346
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;15 – 64;Vrouwelijk;504
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;65 – ...;Mannelijk;318
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;65 – ...;Vrouwelijk;427
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst; 0 – 14;Mannelijk;161
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst; 0 – 14;Vrouwelijk;107
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;15 – 64;Mannelijk;595
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;15 – 64;Vrouwelijk;756
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;65 – ...;Mannelijk;560
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;65 – ...;Vrouwelijk;596
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst; 0 – 14;Mannelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst; 0 – 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;15 – 64;Mannelijk;555
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;15 – 64;Vrouwelijk;631
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;65 – ...;Mannelijk;426
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;65 – ...;Vrouwelijk;508
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle; 0 – 14;Mannelijk;35
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle; 0 – 14;Vrouwelijk;38
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;15 – 64;Mannelijk;284
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;15 – 64;Vrouwelijk;377
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;65 – ...;Mannelijk;289
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;65 – ...;Vrouwelijk;276
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde; 0 – 14;Mannelijk;136
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde; 0 – 14;Vrouwelijk;115
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;15 – 64;Mannelijk;486
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;15 – 64;Vrouwelijk;692
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;65 – ...;Mannelijk;811
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;65 – ...;Vrouwelijk;701
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten; 0 – 14;Mannelijk;224
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten; 0 – 14;Vrouwelijk;207
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;15 – 64;Mannelijk;992
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;15 – 64;Vrouwelijk;1518
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;65 – ...;Mannelijk;1091
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;65 – ...;Vrouwelijk;1226
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek; 0 – 14;Mannelijk;107
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek; 0 – 14;Vrouwelijk;116
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Mannelijk;643
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Vrouwelijk;866
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Mannelijk;515
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Vrouwelijk;487
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Mannelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Vrouwelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Mannelijk;250
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Vrouwelijk;412
