région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Masculin;85
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Féminin;43
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Masculin;411
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Féminin;538
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Masculin;529
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Féminin;564
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Masculin;4757
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Féminin;3589
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Masculin;15739
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Féminin;24791
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Masculin;14587
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Féminin;17996
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Masculin;71
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Féminin;52
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Masculin;388
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Féminin;521
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Masculin;367
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Féminin;449
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Masculin;117
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Féminin;122
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Masculin;621
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Féminin;836
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Masculin;756
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Féminin;733
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Masculin;78
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Féminin;70
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Masculin;340
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Féminin;567
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Masculin;284
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Féminin;371
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Masculin;222
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Féminin;180
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Masculin;1100
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Féminin;1536
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Masculin;1364
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Féminin;1425
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Masculin;267
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Féminin;210
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Masculin;959
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Féminin;1293
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Masculin;847
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Féminin;820
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Masculin;124
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Féminin;101
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;15 – 64;Masculin;544
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;15 – 64;Féminin;884
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;65 – ...;Masculin;816
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;65 – ...;Féminin;905
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen; 0 – 14;Masculin;103
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen; 0 – 14;Féminin;115
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;15 – 64;Masculin;643
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;15 – 64;Féminin;803
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;65 – ...;Masculin;532
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;65 – ...;Féminin;464
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem; 0 – 14;Masculin;75
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem; 0 – 14;Féminin;60
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;15 – 64;Masculin;359
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;15 – 64;Féminin;549
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;65 – ...;Masculin;365
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;65 – ...;Féminin;319
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove; 0 – 14;Masculin;33
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove; 0 – 14;Féminin;32
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;15 – 64;Masculin;226
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;15 – 64;Féminin;308
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;65 – ...;Masculin;282
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;65 – ...;Féminin;319
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout; 0 – 14;Masculin;108
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout; 0 – 14;Féminin;84
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;15 – 64;Masculin;543
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;15 – 64;Féminin;675
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Masculin;581
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Féminin;577
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Masculin;140
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Féminin;110
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Masculin;759
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Féminin;1060
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Masculin;935
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Féminin;1033
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Masculin;129
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Féminin;72
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Masculin;653
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Féminin;838
