région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Masculin;77
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar; 0 – 14;Féminin;45
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Masculin;948
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;15 – 64;Féminin;1324
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Masculin;823
Région flamande;Anvers;Anvers;11001.0;2630.0;Aartselaar;65 – ...;Féminin;851
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Masculin;6562
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers; 0 – 14;Féminin;3225
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Masculin;32761
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;15 – 64;Féminin;44813
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Masculin;20530
Région flamande;Anvers;Anvers;11002.0;2000.0;Anvers;65 – ...;Féminin;22838
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Masculin;81
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout; 0 – 14;Féminin;47
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Masculin;766
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;15 – 64;Féminin;1060
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Masculin;662
Région flamande;Anvers;Anvers;11004.0;2530.0;Boechout;65 – ...;Féminin;568
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Masculin;210
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom; 0 – 14;Féminin;150
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Masculin;1297
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;15 – 64;Féminin;1823
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Masculin;785
Région flamande;Anvers;Anvers;11005.0;2850.0;Boom;65 – ...;Féminin;836
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Masculin;99
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek; 0 – 14;Féminin;55
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Masculin;727
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;15 – 64;Féminin;1336
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Masculin;563
Région flamande;Anvers;Anvers;11007.0;2150.0;Borsbeek;65 – ...;Féminin;532
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Masculin;263
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat; 0 – 14;Féminin;190
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Masculin;2376
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;15 – 64;Féminin;3562
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Masculin;2141
Région flamande;Anvers;Anvers;11008.0;2930.0;Brasschaat;65 – ...;Féminin;2117
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Masculin;326
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht; 0 – 14;Féminin;219
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Masculin;2176
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;15 – 64;Féminin;3012
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Masculin;1467
Région flamande;Anvers;Anvers;11009.0;2960.0;Brecht;65 – ...;Féminin;1300
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Masculin;174
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem; 0 – 14;Féminin;92
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;15 – 64;Masculin;1214
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;15 – 64;Féminin;1568
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;65 – ...;Masculin;1035
Région flamande;Anvers;Anvers;11013.0;2650.0;Edegem;65 – ...;Féminin;1408
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen; 0 – 14;Masculin;161
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen; 0 – 14;Féminin;114
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;15 – 64;Masculin;1118
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;15 – 64;Féminin;1398
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;65 – ...;Masculin;624
Région flamande;Anvers;Anvers;11016.0;2910.0;Essen;65 – ...;Féminin;752
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem; 0 – 14;Masculin;117
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem; 0 – 14;Féminin;77
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;15 – 64;Masculin;838
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;15 – 64;Féminin;1080
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;65 – ...;Masculin;486
Région flamande;Anvers;Anvers;11018.0;2620.0;Hemiksem;65 – ...;Féminin;452
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove; 0 – 14;Masculin;48
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove; 0 – 14;Féminin;27
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;15 – 64;Masculin;421
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;15 – 64;Féminin;676
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;65 – ...;Masculin;482
Région flamande;Anvers;Anvers;11021.0;2540.0;Hove;65 – ...;Féminin;434
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout; 0 – 14;Masculin;137
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout; 0 – 14;Féminin;85
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;15 – 64;Masculin;1160
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;15 – 64;Féminin;1568
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Masculin;753
Région flamande;Anvers;Anvers;11022.0;2920.0;Kalmthout;65 – ...;Féminin;907
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Masculin;196
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers); 0 – 14;Féminin;135
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Masculin;1563
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);15 – 64;Féminin;2356
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Masculin;1352
Région flamande;Anvers;Anvers;11023.0;2950.0;Kapellen (Anvers);65 – ...;Féminin;1591
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Masculin;175
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich; 0 – 14;Féminin;74
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Masculin;1258
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;15 – 64;Féminin;1950
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;65 – ...;Masculin;834
Région flamande;Anvers;Anvers;11024.0;2550.0;Kontich;65 – ...;Féminin;1225
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Masculin;60
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint; 0 – 14;Féminin;40
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Masculin;554
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;15 – 64;Féminin;872
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Masculin;403
Région flamande;Anvers;Anvers;11025.0;2547.0;Lint;65 – ...;Féminin;264
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Masculin;200
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel; 0 – 14;Féminin;109
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Masculin;1535
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;15 – 64;Féminin;2031
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Masculin;1399
Région flamande;Anvers;Anvers;11029.0;2640.0;Mortsel;65 – ...;Féminin;1248
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel; 0 – 14;Masculin;103
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel; 0 – 14;Féminin;90
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;15 – 64;Masculin;753
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;15 – 64;Féminin;1088
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;65 – ...;Masculin;446
Région flamande;Anvers;Anvers;11030.0;2845.0;Niel;65 – ...;Féminin;534
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst; 0 – 14;Masculin;129
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst; 0 – 14;Féminin;104
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;15 – 64;Masculin;1423
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;15 – 64;Féminin;1969
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;65 – ...;Masculin;699
Région flamande;Anvers;Anvers;11035.0;2520.0;Ranst;65 – ...;Féminin;888
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst; 0 – 14;Masculin;125
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst; 0 – 14;Féminin;84
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;15 – 64;Masculin;1164
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;15 – 64;Féminin;1303
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;65 – ...;Masculin;665
Région flamande;Anvers;Anvers;11037.0;2840.0;Rumst;65 – ...;Féminin;674
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle; 0 – 14;Masculin;69
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle; 0 – 14;Féminin;55
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;15 – 64;Masculin;812
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;15 – 64;Féminin;993
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;65 – ...;Masculin;466
Région flamande;Anvers;Anvers;11038.0;2627.0;Schelle;65 – ...;Féminin;436
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde; 0 – 14;Masculin;182
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde; 0 – 14;Féminin;142
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;15 – 64;Masculin;1285
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;15 – 64;Féminin;1817
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;65 – ...;Masculin;1296
Région flamande;Anvers;Anvers;11039.0;2970.0;Schilde;65 – ...;Féminin;1250
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten; 0 – 14;Masculin;266
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten; 0 – 14;Féminin;245
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;15 – 64;Masculin;2578
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;15 – 64;Féminin;3318
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;65 – ...;Masculin;1615
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;65 – ...;Féminin;2007
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek; 0 – 14;Masculin;197
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek; 0 – 14;Féminin;110
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;15 – 64;Masculin;1405
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;15 – 64;Féminin;2175
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;65 – ...;Masculin;673
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;65 – ...;Féminin;737
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem; 0 – 14;Masculin;78
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem; 0 – 14;Féminin;45
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;15 – 64;Masculin;637
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;15 – 64;Féminin;931
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;65 – ...;Masculin;516
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;65 – ...;Féminin;382
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem; 0 – 14;Masculin;112
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem; 0 – 14;Féminin;68
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;15 – 64;Masculin;1026
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;15 – 64;Féminin;1230
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;65 – ...;Masculin;839
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;65 – ...;Féminin;649
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel; 0 – 14;Masculin;228
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel; 0 – 14;Féminin;153
