région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;108
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;51
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;887
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1344
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;978
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;854
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;6295
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3471
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;33927
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;46154
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;21644
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;24719
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;88
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;41
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;895
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1341
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;672
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;708
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;204
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;118
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1286
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;1844
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;840
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;947
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;115
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;41
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;723
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1277
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;526
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;503
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;270
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;225
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2539
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3731
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2431
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;2239
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;252
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;267
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;2051
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;3114
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1486
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;1352
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;214
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;100
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;1381
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;1903
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;1288
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;1547
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;170
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;190
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;1145
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;1522
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;808
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;701
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;97
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;87
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;920
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;1100
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;502
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;523
