région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;103
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;81
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;988
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1361
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;1000
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;915
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;6434
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3616
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;34449
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;47187
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;22200
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;24834
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;76
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;51
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;795
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1365
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;830
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;700
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;211
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;125
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1330
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;2043
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;898
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;909
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;109
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;67
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;653
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1274
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;744
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;605
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;348
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;244
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2594
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3669
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2345
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;2405
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;229
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;171
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;2060
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;3194
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1456
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;1547
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;203
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;148
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;1394
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;1938
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;1383
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;1696
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;200
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;183
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;1123
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;1681
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;874
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;710
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;103
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;74
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;970
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;1097
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;550
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;517
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;39
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;81
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;475
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;747
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;418
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;559
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;135
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;145
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;1152
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;1509
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;933
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;1275
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;252
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;187
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;1671
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;2513
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1597
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1597
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;193
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;87
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;1458
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;2166
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;1120
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;1532
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;50
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;50
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;663
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;1143
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;488
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;488
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;188
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;124
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;1560
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;2181
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;1384
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1557
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;119
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;72
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;747
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;1144
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;532
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;567
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;141
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;116
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;1415
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;2046
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;1201
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;1222
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;102
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;79
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;1183
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;1546
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;936
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;864
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;77
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;50
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;621
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;1230
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;468
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;433
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;131
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;79
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;1192
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;1944
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;1604
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;1178
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;316
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;338
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;2421
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;3549
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;2030
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;2162
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;193
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;130
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;1398
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;2324
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;1004
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;816
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;109
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;55
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;581
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;975
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;623
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;459
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;117
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;71
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;1066
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;1281
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;820
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;727
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;233
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;120
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;1299
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;2126
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;1210
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;854
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;85
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;89
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;851
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;1570
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;748
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;681
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;148
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;146
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;1532
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;2709
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;1432
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;1463
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;171
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;112
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;1332
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;2014
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;1144
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;1034
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;99
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;109
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;1167
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;1918
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;947
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;909
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Masculin;73
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;60
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Masculin;817
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Féminin;1272
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Masculin;520
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Féminin;697
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Masculin;132
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Féminin;135
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Masculin;882
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Féminin;1522
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Masculin;948
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Féminin;1052
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Masculin;163
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Féminin;82
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Masculin;1765
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Féminin;2598
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Masculin;1260
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Féminin;1478
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Masculin;147
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Féminin;98
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Masculin;1255
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Féminin;2016
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Masculin;882
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Féminin;1252
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Masculin;331
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Féminin;269
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Masculin;2825
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Féminin;4332
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Masculin;2118
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Féminin;2126
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Masculin;346
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Féminin;159
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;2486
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;4075
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;1872
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;2069
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;1066
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;677
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;5102
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;9053
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;3370
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;4304
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;184
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;126
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;1613
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;2821
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;1371
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Féminin;1213
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Masculin;128
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Féminin;130
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Masculin;1162
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Féminin;1629
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Masculin;668
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Féminin;1061
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Masculin;127
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Féminin;100
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Masculin;1385
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Féminin;2009
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Masculin;880
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Féminin;1052
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Masculin;69
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Féminin;47
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Masculin;615
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Féminin;954
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Masculin;464
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Féminin;520
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Masculin;215
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Féminin;125
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Masculin;1272
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Féminin;1946
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Masculin;1113
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Féminin;1240
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Masculin;290
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Féminin;197
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Masculin;1704
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Féminin;2970
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Masculin;1437
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Féminin;1435
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Masculin;131
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Féminin;103
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Masculin;1017
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Féminin;1333
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Masculin;710
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Féminin;586
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Masculin;17
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Féminin;24
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Masculin;174
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Féminin;210
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Masculin;197
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Féminin;139
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Masculin;372
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Féminin;232
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Masculin;1881
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Féminin;2629
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Masculin;1372
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Féminin;1276
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Masculin;156
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Féminin;125
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Masculin;1353
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Féminin;2171
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Masculin;858
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Féminin;957
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Masculin;151
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Féminin;88
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Masculin;830
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Féminin;1151
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Masculin;740
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Féminin;661
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Masculin;818
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Féminin;608
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Masculin;3352
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Féminin;4704
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Masculin;2415
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Féminin;2345
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Masculin;72
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Féminin;80
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Masculin;929
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Féminin;1331
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Masculin;687
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Féminin;647
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Masculin;325
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Féminin;255
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Masculin;2668
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Féminin;3786
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Masculin;1780
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Féminin;1802
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Masculin;80
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Féminin;43
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Masculin;710
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Féminin;1169
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Masculin;581
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Féminin;508
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Masculin;196
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Féminin;69
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Masculin;1119
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Féminin;1312
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Masculin;1018
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Féminin;686
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Masculin;225
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Féminin;156
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Masculin;1536
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Féminin;2178
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Masculin;919
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Féminin;1063
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;0 - 14;Masculin;84
