gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Mannelijk;90
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Mannelijk;445
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Vrouwelijk;544
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Mannelijk;597
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Vrouwelijk;553
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Mannelijk;4785
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Vrouwelijk;3838
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Mannelijk;15976
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Vrouwelijk;24435
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Mannelijk;14709
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Vrouwelijk;17337
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Mannelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Vrouwelijk;54
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Mannelijk;342
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Vrouwelijk;526
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Mannelijk;380
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Vrouwelijk;381
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Mannelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Vrouwelijk;110
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Mannelijk;639
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Vrouwelijk;830
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Mannelijk;633
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Vrouwelijk;699
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Mannelijk;115
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Mannelijk;338
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Vrouwelijk;520
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Mannelijk;346
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Vrouwelijk;339
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;224
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;189
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;1078
