région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;45
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;82
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;401
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;533
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;634
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;666
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3463
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4683
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;24149
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;15787
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;17791
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;14943
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;36
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;62
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;516
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;374
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;368
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;403
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;115
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;120
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;602
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;886
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;728
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;610
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;100
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;84
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;323
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;533
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;358
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;353
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;185
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;220
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;1074
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1478
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;1589
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;1440
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;227
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;262
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;959
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;1398
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;916
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;970
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;91
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;111
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;902
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;558
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;896
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;909
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;84
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;119
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;822
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;613
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;563
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;490
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;89
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;66
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;365
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;521
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;366
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;401
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;28
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;33
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;281
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;187
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;314
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;299
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;102
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;87
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;528
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;721
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;620
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;617
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;105
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;152
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;977
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;728
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1025
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1018
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;110
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;89
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;799
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;657
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;666
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;711
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;21
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;38
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;248
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;374
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;233
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;231
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;114
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;185
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;760
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;1099
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1042
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;847
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;71
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;71
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;488
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;308
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;356
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;298
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;91
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;115
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;555
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;743
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;698
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;666
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;88
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;105
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;657
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;435
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;544
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;534
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;35
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;52
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;370
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;262
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;346
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;307
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;101
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;107
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;550
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;651
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;711
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;819
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;243
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;196
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;1040
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;1476
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;1231
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;1299
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;94
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;116
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;603
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;821
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;570
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;508
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;61
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;68
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;398
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;289
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;382
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;380
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;80
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;80
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;418
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;563
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;536
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;441
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;136
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;124
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;645
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;822
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;520
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;548
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;60
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;77
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;442
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;508
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;494
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;395
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;145
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;179
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;845
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;699
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;847
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;795
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;138
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;100
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;640
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;905
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;708
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;647
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;148
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;110
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;458
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;615
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;501
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;514
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;60
