gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Vrouwelijk;51
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Mannelijk;940
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Vrouwelijk;1388
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Vrouwelijk;997
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Mannelijk;1003
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Vrouwelijk;3525
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Mannelijk;6363
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Mannelijk;33927
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Vrouwelijk;46275
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Mannelijk;22999
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Vrouwelijk;24684
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Mannelijk;78
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Vrouwelijk;44
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Vrouwelijk;1337
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Mannelijk;806
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Vrouwelijk;799
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Mannelijk;721
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Vrouwelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Mannelijk;215
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Vrouwelijk;2076
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Mannelijk;1386
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Vrouwelijk;1003
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Mannelijk;935
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Mannelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Vrouwelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Vrouwelijk;1127
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Mannelijk;632
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Vrouwelijk;589
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Mannelijk;634
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;268
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;305
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Vrouwelijk;3600
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;2633
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;2712
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;2426
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;138
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;208
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Vrouwelijk;3163
