région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_classique
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;60
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;44
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;407
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;551
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;665
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;603
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4.519
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3.569
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;15.629
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;23.957
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;14.978
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;16.868
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;53
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;67
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;390
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;521
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;361
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;410
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;144
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;99
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;606
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;992
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;638
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;744
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;111
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;64
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;344
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;546
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;368
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;324
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;214
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;179
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;1.088
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1.511
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;1.560
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;1.468
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;257
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;250
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;946
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;1.462
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;936
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;898
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;136
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;120
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;553
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;956
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;841
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;915
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;110
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;93
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;577
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;778
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;575
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;482
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;88
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;82
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;382
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;566
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;361
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;385
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;32
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;32
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;174
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;287
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;298
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;286
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;122
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;81
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;560
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;667
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;562
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;616
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;125
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;102
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;739
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;1.080
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;1.000
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1.037
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;127
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;86
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;684
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;822
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;708
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;687
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;59
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;40
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;243
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;336
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;254
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;246
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;169
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;122
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;739
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;1.095
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;797
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;984
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;80
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;63
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;318
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;562
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;331
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;368
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;144
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;132
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;598
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;760
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;645
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;603
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;80
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;78
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;473
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;552
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;533
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;569
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;51
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;39
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;248
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;404
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;310
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;320
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;135
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;91
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;518
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;705
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Masculin;823
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;675
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;241
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;211
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;971
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;1.391
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;1.175
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;1.379
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;128
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;95
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;629
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;774
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;573
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;604
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;90
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;57
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;280
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;426
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;292
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;379
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;92
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;76
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;404
