gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Mannelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;0 - 14;Vrouwelijk;59
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Mannelijk;1.045
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;15 - 64;Vrouwelijk;1.489
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Mannelijk;1.156
Vlaams Gewest;Antwerpen;Antwerpen;11001;2630;Aartselaar;65 - ...;Vrouwelijk;1.100
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Mannelijk;6.326
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;0 - 14;Vrouwelijk;3.384
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Mannelijk;34.514
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;15 - 64;Vrouwelijk;46.228
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Mannelijk;22.842
Vlaams Gewest;Antwerpen;Antwerpen;11002;2000;Antwerpen;65 - ...;Vrouwelijk;25.318
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Mannelijk;99
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;0 - 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Mannelijk;907
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;15 - 64;Vrouwelijk;1.273
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Mannelijk;851
Vlaams Gewest;Antwerpen;Antwerpen;11004;2530;Boechout;65 - ...;Vrouwelijk;789
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Mannelijk;206
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;0 - 14;Vrouwelijk;103
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Mannelijk;1.340
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;15 - 64;Vrouwelijk;2.179
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Mannelijk;883
Vlaams Gewest;Antwerpen;Antwerpen;11005;2850;Boom;65 - ...;Vrouwelijk;985
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Mannelijk;161
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;0 - 14;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Mannelijk;756
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;15 - 64;Vrouwelijk;1.293
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Mannelijk;638
Vlaams Gewest;Antwerpen;Antwerpen;11007;2150;Borsbeek;65 - ...;Vrouwelijk;668
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Mannelijk;286
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;0 - 14;Vrouwelijk;208
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Mannelijk;2.536
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;15 - 64;Vrouwelijk;3.801
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Mannelijk;2.755
Vlaams Gewest;Antwerpen;Antwerpen;11008;2930;Brasschaat;65 - ...;Vrouwelijk;2.659
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Mannelijk;178
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;0 - 14;Vrouwelijk;144
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Mannelijk;2.156
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;15 - 64;Vrouwelijk;3.270
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Mannelijk;1.784
Vlaams Gewest;Antwerpen;Antwerpen;11009;2960;Brecht;65 - ...;Vrouwelijk;1.735
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Mannelijk;224
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Vrouwelijk;108
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Mannelijk;1.349
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Vrouwelijk;1.838
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Mannelijk;1.343
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Vrouwelijk;1.826
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Mannelijk;154
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Vrouwelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Mannelijk;1.141
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Vrouwelijk;1.735
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Mannelijk;867
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Vrouwelijk;886
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Mannelijk;176
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Vrouwelijk;72
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Mannelijk;884
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Vrouwelijk;1.287
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Mannelijk;452
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Vrouwelijk;460
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;527
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;830
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;497
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Vrouwelijk;533
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Mannelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Vrouwelijk;80
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Mannelijk;1.123
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Vrouwelijk;1.530
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Mannelijk;985
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Vrouwelijk;1.178
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Mannelijk;159
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Vrouwelijk;136
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Mannelijk;1.708
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Vrouwelijk;2.335
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Mannelijk;1.686
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Vrouwelijk;1.810
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Mannelijk;141
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Vrouwelijk;114
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Mannelijk;1.693
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Vrouwelijk;2.164
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;1.240
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;1.312
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;84
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;665
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;1.126
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;433
