région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;96
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;56
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;911
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1254
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;1131
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;940
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;4478
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;2820
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;31161
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;39985
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;21267
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;22694
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;55
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;50
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;826
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1035
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;860
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;671
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;159
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;73
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1319
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;1755
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;977
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;839
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;139
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;47
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;676
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1108
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;519
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;490
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;183
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;130
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2318
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3132
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2305
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;2551
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;154
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;126
