région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;45
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;48
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;348
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;468
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;408
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;486
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;3242
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;2504
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;12779
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;19340
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;12459
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;13866
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;50
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;49
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;306
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;403
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;331
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;370
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;77
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;72
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;419
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;697
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;497
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;547
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;85
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;58
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;206
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;474
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;265
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;316
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;156
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;142
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;902
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;1242
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;1255
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;1208
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;163
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;196
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;841
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;1057
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;927
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;842
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;102
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;69
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;465
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;837
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;733
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;750
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;83
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;89
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;505
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;613
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;470
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;437
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;59
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;66
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;286
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;453
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;320
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;309
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;33
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;17
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;134
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;211
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;258
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;266
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;46
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;69
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;419
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;544
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;552
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;556
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;105
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;105
