région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_de_jour
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Masculin;105
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Féminin;90
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Masculin;1 013
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Féminin;1 351
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Masculin;1 361
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Féminin;1 191
Région flamande;Anvers;Anvers;11001;2630;Aartselaar;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Masculin;6 016
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Féminin;3 458
Région flamande;Anvers;Anvers;11002;2000;Anvers;0 - 14;Changé;< 5
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Masculin;35 328
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Féminin;46 420
Région flamande;Anvers;Anvers;11002;2000;Anvers;15 - 64;Changé;9
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Masculin;24 616
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Féminin;25 903
Région flamande;Anvers;Anvers;11002;2000;Anvers;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Masculin;71
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Féminin;53
Région flamande;Anvers;Anvers;11004;2530;Boechout;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Masculin;896
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Féminin;1 421
Région flamande;Anvers;Anvers;11004;2530;Boechout;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Masculin;943
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Féminin;781
Région flamande;Anvers;Anvers;11004;2530;Boechout;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Masculin;216
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Féminin;111
Région flamande;Anvers;Anvers;11005;2850;Boom;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Masculin;1 399
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Féminin;1 986
Région flamande;Anvers;Anvers;11005;2850;Boom;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Masculin;1 169
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Féminin;1 046
Région flamande;Anvers;Anvers;11005;2850;Boom;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Masculin;163
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Féminin;63
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Masculin;855
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Féminin;1 162
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Masculin;741
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Féminin;670
Région flamande;Anvers;Anvers;11007;2150;Borsbeek;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Masculin;244
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Féminin;170
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Masculin;2 545
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Féminin;3 533
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Masculin;2 416
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Féminin;3 119
Région flamande;Anvers;Anvers;11008;2930;Brasschaat;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Masculin;222
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Féminin;195
Région flamande;Anvers;Anvers;11009;2960;Brecht;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Masculin;2 437
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Féminin;3 376
Région flamande;Anvers;Anvers;11009;2960;Brecht;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Masculin;1 976
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Féminin;1 865
Région flamande;Anvers;Anvers;11009;2960;Brecht;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Masculin;160
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Féminin;127
Région flamande;Anvers;Anvers;11013;2650;Edegem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;1 395
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;1 790
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;1 629
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;1 915
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;122
